From To weight
passeurdesciences.blog.lemonde.fr alasource.blog.lemonde.fr 0.1
passeurdesciences.blog.lemonde.fr binaire.blog.lemonde.fr 0.1
passeurdesciences.blog.lemonde.fr toutsepassecommesi.cafe-sciences.org 0.1
biopsci.com bioinfo-fr.net 0.1
biopsci.com tomroud.cafe-sciences.org 0.1
toutsepassecommesi.cafe-sciences.org sciencepresse.qc.ca 0.1
toutsepassecommesi.cafe-sciences.org scilogs.fr 0.1
anthropoblog.fr passeurdesciences.blog.lemonde.fr 0.1
homofabulus.com webinet.cafe-sciences.org 0.1
stripscience.cafe-sciences.org alamain.info 0.1
stripscience.cafe-sciences.org pourquoilecielestbleu.cafe-sciences.org 0.1
bacterioblog.com biopsci.com 0.1
tomroud.cafe-sciences.org passeurdesciences.blog.lemonde.fr 0.1
tomroud.cafe-sciences.org sciencepresse.qc.ca 0.1
tomroud.cafe-sciences.org toutsepassecommesi.cafe-sciences.org 0.1
drgoulu.com sciencetonnante.wordpress.com 0.1
sciencetonnante.wordpress.com kidiscience.cafe-sciences.org 0.1
sciencetonnante.wordpress.com webinet.cafe-sciences.org 0.1
scienceabilly.com toutsepassecommesi.cafe-sciences.org 0.1
archeo.blog.lemonde.fr passeurdesciences.blog.lemonde.fr 0.142857142857143
sciencepresse.qc.ca passeurdesciences.blog.lemonde.fr 0.166666666666667
sciencepresse.qc.ca toutsepassecommesi.cafe-sciences.org 0.166666666666667
passeurdesciences.blog.lemonde.fr archeo.blog.lemonde.fr 0.2
toutsepassecommesi.cafe-sciences.org bioinfo-fr.net 0.2
toutsepassecommesi.cafe-sciences.org biopsci.com 0.2
toutsepassecommesi.cafe-sciences.org tomroud.cafe-sciences.org 0.2
homofabulus.com sciencepresse.qc.ca 0.2
homofabulus.com sciencetonnante.wordpress.com 0.2
webinet.cafe-sciences.org sciencetonnante.wordpress.com 0.2
sciencetonnante.wordpress.com pourquoilecielestbleu.cafe-sciences.org 0.2
fossilandmrdarwin.wordpress.com passeurdesciences.blog.lemonde.fr 0.25
toutsepassecommesi.cafe-sciences.org passeurdesciences.blog.lemonde.fr 0.3
comptoir.cafe-sciences.org webinet.cafe-sciences.org 0.75
biopsci.com toutsepassecommesi.cafe-sciences.org 0.9
scilogs.fr sciencepresse.qc.ca 1.5
